Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
producto-test,producto test,"",altoquerecords.cl,,,"",true,Title,Default Title,,,,,,0.0,shopify,0,deny,manual,600,,false,true,,,,,false,,,,,,,,,,,,,,,,,kg,,600,active
nena-99-lufballons,NENA - 99 LUFBALLOONS,"",altoquerecords.cl,,vinilo usado,"1983, EPIC, LP, ORIGINALES DE ÉPOCA, POP, USADO, VINILO",true,Title,Default Title,,,,,EPIC-270,220.0,shopify,1,deny,manual,19900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/0.jpg?v=1633031665,1,,false,,,,,,,,,,,,,,,,,g,,,active
nena-99-lufballons,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/1.jpg?v=1633031858,2,,,,,,,,,,,,,,,,,,,,,,
nena-99-lufballons,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/2.jpg?v=1633031858,3,,,,,,,,,,,,,,,,,,,,,,
vince-guaraldi-peanuts-portraits-the-classic-character-themes,VINCE GUARALDI  - PEANUTS PORTRAITS - THE CLASSIC CHARACTER THEMES,"<p>LP</p>
<p>2010</p>
<p>CRAFT RECORDINGS</p>
<p>JAZZ - OST - SOUNDTRACK</p>",altoquerecords.cl,,vinilo nuevo,"2010, JAZZ, LP, nuevo, OST, PEANUTS PORTRAITS, SOUNDTRACK, THE CLASSIC CHARACTER THEMES, VINCE GUARALDI, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,29900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/046.jpg?v=1618773771,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-trojan-records-soul-reggae-vol-1,VARIOS ARTISTAS - TROJAN RECORDS SOUL REGGAE VOL. 1,"<p>LP</p>
<p>2015</p>
<p>TROJAN RECORDS</p>
<p>REGGAE - REGGAE LOVERS</p>",altoquerecords.cl,,vinilo nuevo,"2015, LP, nuevo, REGGAE, TROJAN RECORDS, TROJAN RECORDS SOUL REGGAE VOL. 1, VARIOS ARTISTAS, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/045.jpg?v=1618773546,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-right-on-time-trojan-rock-steady,VARIOS ARTISTAS - RIGHT ON TIME: TROJAN ROCK STEADY,"<p>DOBLE LP</p>
<p>2021</p>
<p>MUSIC ON VINYL</p>
<p>REGGAE - ROCKSTEADY</p>",altoquerecords.cl,,vinilo nuevo,"2021, DOBLE LP, MUSIC ON VINYL, nuevo, REGGAE, RIGHT ON TIME: TROJAN ROCK STEADY, ROCKSTEDY, VARIOS ARTISTAS, vinilo",true,Title,Default Title,,,,,,440.0,shopify,0,deny,manual,42900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/044.jpg?v=1618773228,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-beavis-and-butt-head-do-america,VARIOS ARTISTAS - BEAVIS AND BUTT-HEAD DO AMERICA,"<p>LP</p>
<p>PICTURE DISC</p>
<p>2016</p>
<p>GEFFEN RECORDS</p>
<p>HIP HOP - ROCK - FUNK - SOUL - POP</p>",altoquerecords.cl,,vinilo nuevo,"2016, FUNK, GEFFEN RECORDS, HIP HOP, LP, nuevo, PICTURE DISC, POP, SOUL, VARIOS ARTISTAS, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/043.jpg?v=1618772389,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-studio-one-women-the-original,VARIOS ARTISTAS - STUDIO ONE WOMEN - THE ORIGINAL,"<p>DOBLE LP</p>
<p>2020</p>
<p>SOUL JAZZ RECORDS</p>
<p>REGGAE - SKA - ROCKSTEDY - SOUL </p>",altoquerecords.cl,,vinilo nuevo,"2020, DOBLE LP, REGGAE, ROCKSTEDY, SKA, SOUL, SOUL JAZZ RECORDS, STUDIO ONE WOMEN - THE ORIGINAL, VARIOS ARTISTAS",true,Title,Default Title,,,,,,440.0,shopify,0,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/042.jpg?v=1618772061,1,,false,,,,,,,,,,,,,,,,,g,,,active
varios-artistas-black-riot-early-jungle-rave-and-hardcore,"VARIOS ARTISTAS - BLACK RIOT - EARLY JUNGLE, RAVE AND HARDCORE","<p>DOBLE LP</p>
<p>2020</p>
<p>SOUL JAZZ RECORDS</p>
<p>ELECTRONICA - JUNGLE - RAVE</p>",altoquerecords.cl,,vinilo nuevo,"2020, BLACK RIOT - EARLY JUNGLE, DOBLE LP, ELECTRONICA, JUNGLE, RAVE, RAVE AND HARDCORE, SOUL JAZZ RECORDS, VARIOS ARTISTAS",true,Title,Default Title,,,,,,440.0,shopify,1,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/041.jpg?v=1618771952,1,,false,,,,,,,,,,,,,,,,,g,,,active
turbonegro-never-is-forever,TURBONEGRO - NEVER IS FOREVER,"<p>LP</p>
<p>EDICIÓN LIMITADA, WHITE WITH RED SPLATTER</p>
<p>2020</p>
<p>INDIE RECORDING</p>
<p>ROCK - PUNK</p>",altoquerecords.cl,,vinilo nuevo,"2020, EDICIÓN LIMITADA, INDIE RECORDING, LP, NEVER IS FOREVER, nuevo, PUNK, ROCK, TURBONEGRO, vinilo, WHITE WITH RED SPLATTER",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,32900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/040.jpg?v=1618771530,1,,false,,,,,,,,,,,,,,,,,g,,,active
the-weeknd-after-hours,THE WEEKND - AFTER HOURS,"<p>DOBLE LP</p>
<p>2020</p>
<p>XO, REPUBLIC RECORDS</p>
<p>ELECTRONICA - HIP HOP, SOUL, POP</p>",altoquerecords.cl,,vinilo nuevo,"2020, AFTER HOURS, DOBLE LP, ELECTRONICA, HIP HOP, nuevo, POP, REPUBLIC RECORDS, SOUL, THE WEEKND, vinilo, XO",true,Title,Default Title,,,,,,440.0,shopify,1,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/039.png?v=1618771406,1,,false,,,,,,,,,,,,,,,,,g,,,active
the-stooges-the-stooges,THE STOOGES - THE STOOGES,"<p>LP</p>
<p>REEDICION</p>
<p>2005</p>
<p>ELEKTRA</p>
<p>ROCK - PUNK</p>",altoquerecords.cl,,vinilo nuevo,"2005, ELEKTRA, LP, nuevo, PUNK, RE, RE EDICION, ROCK, THE STOOGES, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/038.jpg?v=1618771141,1,,false,,,,,,,,,,,,,,,,,g,,,active
the-specials-encore,THE SPECIALS - ENCORE,"<p>LP</p>
<p>2019</p>
<p>ISLAND RECORD</p>
<p>SKA - REGGAE - NEW WAVE</p>",altoquerecords.cl,,vinilo nuevo,"2019, ENCORE, ISLAND RECORD, LP, NEW WAVE, nuevo, REGGAE, SKA, THE SPECIALS, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,34900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/037.jpg?v=1618770788,1,,false,,,,,,,,,,,,,,,,,g,,,active
the-frightnrs-nothing-more-to-say,THE FRIGHTNRS - NOTHING MORE TO SAY,"<p>LP</p>
<p>2016</p>
<p>DAPTONE RECORDS</p>
<p>REGGAE - SKA - ROCKSTEDY</p>",altoquerecords.cl,,vinilo nuevo,"2016, DAPTONE RECORDS, LP, nuevo, REGGAE, ROCKSTEDY, SKA, THE FRIGHTNRS, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,28900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/036.jpg?v=1618770475,1,,false,,,,,,,,,,,,,,,,,g,,,active
the-beatles-abbey-road,THE BEATLES - ABBEY ROAD,"<p>LP</p>
<p>EDICION ANIVERSARIO</p>
<p>2019</p>
<p>APPLE RECORDS</p>
<p>ROCK - POP ROCK</p>",altoquerecords.cl,,vinilo nuevo,"2019, ABBEY ROAD, APPLE RECORDS, EDICION ANIVERSARIO, LP, nuevo, POP ROCK, RE EDICION, ROCK, THE BEATLES, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,29900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/035.jpg?v=1618770184,1,,false,,,,,,,,,,,,,,,,,g,,,active
soda-stereo-soda-stereo,SODA STEREO - SODA STEREO,"<p>LP</p>
<p>2015</p>
<p>SONY MUSIC</p>
<p>ROCK - POP ROCK </p>",altoquerecords.cl,,vinilo nuevo,"2015, ARGENTINA, ARGENTINO, LP, nuevo, POP ROCK, RE, RE EDICION, ROCK, SODA STEREO, SONY MUSIC, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/034.jpg?v=1618769681,1,,false,,,,,,,,,,,,,,,,,g,,,active
soda-stereo-signos,SODA STEREO - SIGNOS,"<p>LP</p>
<p>2015</p>
<p>SONY MUSIC</p>
<p>ROCK - POP ROCK </p>",altoquerecords.cl,,vinilo nuevo,"2015, ARGENTINA, ARGENTINO, LP, nuevo, POP ROCK, RE, RE EDICION, ROCK, SIGNOS, SODA STEREO, SONY MUSIC, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/033.jpg?v=1618769595,1,,false,,,,,,,,,,,,,,,,,g,,,active
shame-drunk-tank-pink,SHAME  - DRUNK TANK PINK,"<p>LP</p>
<p>EDICIÓN LIMITADA, CLEAR VINYL</p>
<p>2021</p>
<p>DEAD OCEANS</p>
<p>ROCK - POST PUNK</p>",altoquerecords.cl,,vinilo nuevo,"CLEAR VINYL, DEAD OCEANS, EDICIÓN LIMITADA, LP, nuevo, POST PUNK, ROCK, SHAME, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,29900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/032.jpg?v=1618769358,1,,false,,,,,,,,,,,,,,,,,g,,,active
scott-bomar-dolomite-is-my-name,SCOTT BOMAR - DOLOMITE IS MY NAME,"<p>LP</p>
<p>PURPLE VINYL</p>
<p>2019</p>
<p>MONDO</p>
<p>SOUNDTRACK - OST</p>",altoquerecords.cl,,vinilo nuevo,"2019, LP, MONDO, nuevo, OST, PURPLE VINYL, SCOTT BOMAR, SOUNDTRACK, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,39900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/031.jpg?v=1618769090,1,,false,,,,,,,,,,,,,,,,,g,,,active
rainbow-on-stage,RAINBOW - ON STAGE,"<p>LP</p>
<p>2013</p>
<p>WAX CATHEDRAL</p>
<p>ROCK - HARD ROCK</p>",altoquerecords.cl,,vinilo nuevo,"2013, HARD ROCK, LP, nuevo, ON STAGE, RAINBOW, ROCK, vinilo, WAX CATHEDRAL",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,36900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/030.jpg?v=1618768658,1,,false,,,,,,,,,,,,,,,,,g,,,active
pink-floyd-pulse,PINK FLOYD - PULSE,"<p>4 LP, BOXSET</p>
<p>REEDICION</p>
<p>2018</p>
<p>PINK FLOYD RECORDS</p>
<p>ROCK PROGRESIVO</p>",altoquerecords.cl,,vinilo nuevo,"2018, nuevo, PINK FLOYD, PINK FLOYD RECORDS, PULSE, RE, RE EDICION, ROCK PROGRESIVO, vinilo",true,Title,Default Title,,,,,,900.0,shopify,0,deny,manual,184900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/029.jpg?v=1618768554,1,,false,,,,,,,,,,,,,,,,,g,,,active
pettinellis-pettinellis,PETTINELLIS - PETTINELLIS,"<p>LP</p>
<p>2019</p>
<p>MUSICA Y ENTRETENIMIENTO</p>
<p>ROCK - LATIN BLUES - ROCK ALTERNATIVO</p>",altoquerecords.cl,,vinilo nuevo,"2019, LATIN BLUES, LP, MUSICA Y ENTRETENIMIENTO, nuevo, PETTINELLIS, ROCK, ROCK ALTERNATIVO, vinilo",true,Title,Default Title,,,,,,220.0,shopify,1,deny,manual,24900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/028.jpg?v=1618768254,1,,false,,,,,,,,,,,,,,,,,g,,,active
pearl-jam-mtv-unplugged,PEARL JAM  - MTV UNPLUGGED,"<p>BOOTLEG</p>
<p>2020</p>
<p>EPIC</p>
<p>ROCK - ALTERNATIVO - GRUNGE - ACUSTICO</p>",altoquerecords.cl,,vinilo nuevo,"2020, ACUSTICO, BOOTLEG, EPIC, GRUNGE, MTV UNPLUGGED, nuevo, PEARL JAM, ROCK, ROCK ALTERNATIVO, vinilo",true,Title,Default Title,,,,,,220.0,shopify,0,deny,manual,34900,,true,true,,https://cdn.shopify.com/s/files/1/0556/2279/5454/products/027.jpg?v=1618768056,1,,false,,,,,,,,,,,,,,,,,g,,,active
